                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.1153,                 2.3146,                 1.9323,                0.23878,                0.33461,                0.19875,                0.07853,                 2.2355,                 2.7565,                      2,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.1218,                  2.207,                 1.9258,                0.34276,                0.35556,                0.24049,                0.09809,                 2.2344,                 2.8033,                  2.035,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.1304,                 2.3952,                  1.973,                0.26255,                0.24444,                0.18615,                0.07323,                 2.4149,                 2.8891,                  2.123,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.1175,                 2.3462,                 1.8907,                0.36115,                0.35556,                0.24586,                0.09951,                 2.3777,                 2.8833,                 2.0746,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.1057,                 2.2967,                 1.9867,                0.26025,                0.31111,                 0.1855,                0.06402,                 2.5574,                 2.9604,                 2.3197,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.0421,                 2.2858,                 1.9372,                0.29363,                0.35556,                0.22944,                0.08522,                 2.4702,                 2.9594,                 2.1151,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.0598,                 2.2288,                 1.8968,                0.42208,                0.33333,                0.24651,                0.10341,                 2.2651,                  2.695,                 1.9751,               0.001604,               0.001604,               0.001604
                     42,                 2.0846,                 2.2664,                 1.9294,                0.31943,                0.33377,                0.22329,                0.09202,                 2.5064,                 2.8272,                 2.2469,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.0268,                 2.3106,                 1.9216,                0.37094,                0.35556,                0.24552,                0.09412,                 2.3738,                 3.3095,                 1.9694,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.9772,                 2.1069,                 1.8154,                0.35306,                0.33333,                0.21707,                0.07138,                 2.4552,                 3.0825,                 2.1995,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.9937,                 2.1842,                 1.8819,                0.14223,                0.37778,                0.10506,                0.04025,                 2.6298,                 3.0501,                  2.334,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.0157,                 2.3165,                 1.8314,                0.36256,                0.33333,                 0.2446,                0.08489,                 2.7647,                  3.171,                 2.5639,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.9914,                 2.2831,                 1.9029,                0.20689,                0.24444,                 0.1494,                0.05488,                 2.3624,                 3.0186,                 2.0939,              0.0015446,              0.0015446,              0.0015446
                     48,                 2.0384,                 2.1923,                  1.911,                 0.2757,                0.28889,                0.20015,                 0.0835,                 2.4517,                  2.865,                 2.1422,              0.0015347,              0.0015347,              0.0015347
                     49,                 2.0069,                 2.1491,                 1.8954,                0.37954,                 0.3943,                0.25583,                0.11116,                 2.4591,                 2.6311,                 2.2224,              0.0015248,              0.0015248,              0.0015248
                     50,                 2.0026,                 2.1323,                 1.8636,                0.40207,                0.33333,                0.25749,                0.09127,                 2.5454,                 2.7071,                  2.316,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.9795,                 2.0444,                 1.7952,                0.17658,                0.31111,                0.17045,                0.06278,                 2.3944,                 2.9683,                 2.1344,               0.001505,               0.001505,               0.001505
                     52,                 1.9642,                 2.0152,                 1.8221,                 0.3739,                0.46451,                0.26635,                 0.1108,                 2.2801,                  2.456,                 2.0475,              0.0014951,              0.0014951,              0.0014951
