                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                 1.8421,                 1.7717,                 1.8243,                0.37487,                0.42857,                0.33831,                0.13427,                 2.1746,                  2.299,                 2.3739,              0.0016535,              0.0016535,              0.0016535
                     37,                 1.9152,                  1.742,                 1.9162,                 0.4138,                0.38961,                0.32866,                0.13231,                 2.1735,                 2.7536,                 2.4243,              0.0016436,              0.0016436,              0.0016436
                     38,                 1.9003,                 1.6402,                 1.6953,                 0.4138,                0.38961,                0.32866,                0.13231,                 2.1735,                 2.7536,                 2.4243,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.0017,                 1.8194,                 1.8669,                0.39084,                0.45455,                0.28578,                0.11824,                 2.0838,                 4.0768,                 2.2733,              0.0016238,              0.0016238,              0.0016238
                     40,                 1.8851,                 1.6909,                 1.7747,                0.43464,                0.38961,                0.30462,                0.11278,                 2.0382,                 2.9566,                 2.1613,              0.0016139,              0.0016139,              0.0016139
                     41,                 1.8743,                  1.653,                 1.7593,                0.37287,                0.35065,                0.29384,                0.10857,                 2.1175,                  2.463,                 2.2916,               0.001604,               0.001604,               0.001604
                     42,                 1.8347,                 1.6268,                 1.7282,                0.36072,                0.37662,                0.32801,                0.12518,                 2.1314,                 2.2378,                 2.2651,              0.0015941,              0.0015941,              0.0015941
                     43,                 1.8601,                 1.6966,                 1.7715,                0.41861,                 0.2987,                0.31176,                  0.131,                 2.0664,                 2.2168,                 2.1476,              0.0015842,              0.0015842,              0.0015842
                     44,                 1.9121,                 1.7628,                 1.7415,                0.29151,                0.48052,                0.31192,                0.12964,                 2.0494,                  2.204,                 2.1172,              0.0015743,              0.0015743,              0.0015743
                     45,                 1.9057,                 1.6577,                 1.7413,                0.49348,                0.32903,                0.33777,                0.15679,                 2.0548,                 2.6166,                 2.0949,              0.0015644,              0.0015644,              0.0015644
                     46,                 1.8187,                 1.5759,                 1.6837,                0.49348,                0.32903,                0.33777,                0.15679,                 2.0548,                 2.6166,                 2.0949,              0.0015545,              0.0015545,              0.0015545
                     47,                 1.8585,                 2.2403,                 1.8649,                0.33417,                0.41558,                0.29647,                 0.1319,                 2.0868,                 2.4958,                 2.1443,              0.0015446,              0.0015446,              0.0015446
                     48,                 1.9769,                 1.8062,                 1.8339,                0.29821,                0.27273,                0.20829,                 0.0909,                 2.1522,                 2.3872,                 2.2107,              0.0015347,              0.0015347,              0.0015347
                     49,                  1.819,                  1.701,                 1.7816,                0.32935,                0.25974,                0.25423,                0.10728,                 2.0622,                 2.5152,                 2.1715,              0.0015248,              0.0015248,              0.0015248
                     50,                 1.8258,                 1.8259,                 1.6565,                0.45599,                0.37016,                0.37153,                0.17304,                 1.9958,                 2.2817,                  2.127,              0.0015149,              0.0015149,              0.0015149
                     51,                 1.7246,                 1.5824,                  1.628,                0.52424,                0.35781,                0.33256,                0.15801,                 2.0415,                 2.3059,                 2.1558,               0.001505,               0.001505,               0.001505
                     52,                 1.7639,                 1.4647,                 1.5928,                  0.514,                0.36364,                0.37634,                0.16645,                 2.0317,                 2.5975,                 2.2052,              0.0014951,              0.0014951,              0.0014951
                     53,                  1.701,                 1.4295,                 1.5905,                0.45359,                0.36658,                0.37547,                0.17541,                   1.99,                 2.5168,                 2.1608,              0.0014852,              0.0014852,              0.0014852
                     54,                 1.6626,                 1.5473,                 1.6605,                0.45359,                0.36658,                0.37547,                0.17541,                   1.99,                 2.5168,                 2.1608,              0.0014753,              0.0014753,              0.0014753
                     55,                 1.7509,                 1.5834,                 1.7003,                0.46345,                0.35902,                0.38647,                0.17837,                 2.0629,                 2.0666,                 2.2716,              0.0014654,              0.0014654,              0.0014654
                     56,                 1.7308,                 1.5591,                 1.6645,                0.53558,                0.27273,                 0.3226,                0.14367,                 2.0553,                 2.1709,                  2.197,              0.0014555,              0.0014555,              0.0014555
                     57,                 1.6851,                 1.4405,                 1.5574,                0.65801,                0.23377,                0.33619,                0.14579,                 2.1407,                 2.1921,                 2.2736,              0.0014456,              0.0014456,              0.0014456
                     58,                 1.6813,                  1.612,                 1.6255,                0.64966,                0.33766,                0.38246,                0.15705,                 2.1736,                 2.1284,                 2.3329,              0.0014357,              0.0014357,              0.0014357
                     59,                 1.7372,                 1.6889,                 1.7267,                0.06863,                0.44156,                0.05223,                0.02035,                 2.0976,                 8.0589,                 2.2407,              0.0014258,              0.0014258,              0.0014258
                     60,                 1.6381,                 1.5783,                 1.6557,                0.01655,                0.33766,                0.01158,                0.00543,                 2.1125,                 27.149,                 2.1923,              0.0014159,              0.0014159,              0.0014159
                     61,                 1.6248,                 1.4814,                 1.5568,                 0.5078,                0.31169,                0.35537,                 0.1403,                 2.1897,                  1.981,                 2.3016,               0.001406,               0.001406,               0.001406
                     62,                 1.7798,                 1.8286,                 1.7239,                 0.5078,                0.31169,                0.35537,                 0.1403,                 2.1897,                  1.981,                 2.3016,              0.0013961,              0.0013961,              0.0013961
                     63,                 1.6214,                 1.4569,                 1.6492,                0.38453,                0.50649,                 0.3963,                0.17292,                 2.0695,                 1.9136,                 2.2374,              0.0013862,              0.0013862,              0.0013862
                     64,                 1.5244,                 1.3964,                 1.5759,                0.38618,                0.44156,                0.36962,                0.15705,                 2.0167,                 2.0898,                 2.2151,              0.0013763,              0.0013763,              0.0013763
                     65,                 1.4813,                 1.3316,                 1.5418,                0.42163,                0.37662,                0.37544,                0.16407,                 2.0163,                 2.0667,                 2.1831,              0.0013664,              0.0013664,              0.0013664
                     66,                 1.5548,                 1.3285,                 1.5263,                0.40988,                0.36988,                0.34747,                0.13722,                 2.0719,                 2.0047,                 2.1751,              0.0013565,              0.0013565,              0.0013565
                     67,                 1.6134,                  1.413,                 1.5797,                0.43386,                0.37822,                0.36977,                 0.1622,                 2.0774,                 1.8867,                 2.1488,              0.0013466,              0.0013466,              0.0013466
                     68,                 1.5894,                 1.3782,                  1.644,                0.41157,                0.45455,                0.36492,                 0.1464,                 2.0972,                 2.0464,                 2.1785,              0.0013367,              0.0013367,              0.0013367
                     69,                  1.599,                 1.4408,                 1.6259,                0.38745,                0.44361,                0.36336,                0.15603,                 2.0801,                 1.8573,                 2.1755,              0.0013268,              0.0013268,              0.0013268
                     70,                 1.5912,                 1.3425,                 1.5831,                0.38745,                0.44361,                0.36336,                0.15603,                 2.0801,                 1.8573,                 2.1755,              0.0013169,              0.0013169,              0.0013169
                     71,                 1.5393,                 1.2559,                 1.4558,                0.38748,                0.48052,                0.33083,                0.16671,                 1.9989,                 1.8679,                 2.1033,               0.001307,               0.001307,               0.001307
                     72,                 1.5878,                 1.3566,                 1.5747,                0.32259,                0.41558,                0.30667,                0.13808,                 2.0799,                 2.3046,                 2.1744,              0.0012971,              0.0012971,              0.0012971
                     73,                 1.4956,                 1.5555,                 1.5355,                0.28642,                0.44156,                0.25949,                 0.1079,                 2.1881,                 2.3975,                 2.2679,              0.0012872,              0.0012872,              0.0012872
                     74,                 1.4394,                 1.2519,                 1.5008,                0.29196,                0.53247,                0.31883,                0.13268,                 2.1448,                 2.1653,                 2.2944,              0.0012773,              0.0012773,              0.0012773
                     75,                 1.4634,                 1.2491,                 1.4847,                0.51376,                0.36364,                0.37042,                0.15719,                 2.0481,                 1.9776,                 2.2841,              0.0012674,              0.0012674,              0.0012674
                     76,                 1.4581,                 1.2872,                 1.5526,                0.61941,                0.35065,                0.40001,                0.16261,                 1.9845,                 1.8679,                 2.1954,              0.0012575,              0.0012575,              0.0012575
                     77,                 1.4197,                 1.1632,                 1.4452,                0.39445,                0.46753,                0.34779,                0.15569,                 2.0491,                 1.8981,                 2.1986,              0.0012476,              0.0012476,              0.0012476
                     78,                 1.5522,                 1.3735,                 1.6279,                0.39445,                0.46753,                0.34779,                0.15569,                 2.0491,                 1.8981,                 2.1986,              0.0012377,              0.0012377,              0.0012377
                     79,                 1.5191,                 1.2228,                  1.512,                0.44743,                0.37662,                0.33332,                0.13665,                 2.1129,                 1.9273,                 2.2446,              0.0012278,              0.0012278,              0.0012278
                     80,                 1.6635,                 1.6473,                 1.6718,                0.45824,                0.42857,                0.38444,                0.17503,                  2.032,                 1.8629,                  2.197,              0.0012179,              0.0012179,              0.0012179
                     81,                 1.5263,                 1.2389,                 1.5058,                0.43121,                0.49351,                0.45223,                0.20174,                 2.0121,                 1.7694,                  2.163,               0.001208,               0.001208,               0.001208
                     82,                 1.4791,                 1.2608,                  1.507,                0.62974,                0.37662,                0.47616,                0.20103,                 2.0124,                 1.7155,                 2.1573,              0.0011981,              0.0011981,              0.0011981
                     83,                 1.4528,                 1.2046,                 1.4054,                0.51404,                0.46753,                0.46498,                0.19224,                 2.0294,                 1.9701,                 2.1978,              0.0011882,              0.0011882,              0.0011882
                     84,                 1.4287,                 1.1305,                 1.4392,                0.51394,                0.49351,                0.45743,                0.19685,                 2.0337,                 1.8187,                 2.2471,              0.0011783,              0.0011783,              0.0011783
                     85,                 1.4523,                 1.0994,                  1.437,                0.57313,                0.41853,                0.44196,                0.18385,                 2.0193,                 1.7195,                 2.2273,              0.0011684,              0.0011684,              0.0011684
                     86,                 1.5196,                 1.3277,                 1.6043,                0.57313,                0.41853,                0.44196,                0.18385,                 2.0193,                 1.7195,                 2.2273,              0.0011585,              0.0011585,              0.0011585
                     87,                 1.4513,                 1.2495,                 1.4272,                0.48248,                0.45455,                0.40211,                0.17054,                 2.0593,                 1.7875,                 2.2578,              0.0011486,              0.0011486,              0.0011486
                     88,                 1.3487,                 1.2002,                 1.4264,                0.56331,                0.44156,                0.41143,                0.17901,                 2.0494,                 1.8019,                 2.2242,              0.0011387,              0.0011387,              0.0011387
                     89,                 1.3151,                 1.0837,                 1.3852,                0.55774,                0.44156,                0.42507,                0.19031,                 2.0255,                 1.8384,                 2.1874,              0.0011288,              0.0011288,              0.0011288
                     90,                 1.4377,                 1.1712,                 1.4624,                0.47582,                0.49351,                0.45942,                0.21549,                 2.0317,                 1.8153,                 2.1645,              0.0011189,              0.0011189,              0.0011189
                     91,                 1.4404,                 1.2107,                 1.4633,                0.71479,                0.37662,                0.46494,                0.21161,                 2.0426,                 1.7772,                 2.2048,               0.001109,               0.001109,               0.001109
                     92,                 1.4879,                 1.2642,                 1.5698,                0.63148,                0.42857,                 0.4791,                0.21117,                 2.0408,                 1.7751,                 2.2305,              0.0010991,              0.0010991,              0.0010991
                     93,                 1.4122,                 1.1846,                 1.3787,                0.48129,                0.42857,                0.44787,                 0.2021,                 2.0516,                 1.7681,                 2.2172,              0.0010892,              0.0010892,              0.0010892
                     94,                 1.4144,                 1.1534,                 1.3433,                0.48129,                0.42857,                0.44787,                 0.2021,                 2.0516,                 1.7681,                 2.2172,              0.0010793,              0.0010793,              0.0010793
                     95,                 1.3472,                 1.1798,                 1.3853,                0.43703,                0.45455,                0.40754,                0.18468,                 2.0205,                 1.7877,                 2.1349,              0.0010694,              0.0010694,              0.0010694
                     96,                 1.3516,                 1.0706,                 1.3774,                0.35799,                0.49351,                0.33384,                0.15098,                  2.044,                 2.0274,                 2.1481,              0.0010595,              0.0010595,              0.0010595
                     97,                  1.304,                0.99169,                 1.3322,                0.43946,                0.50649,                0.41101,                0.17214,                 2.0653,                 1.9518,                 2.1954,              0.0010496,              0.0010496,              0.0010496
                     98,                 1.3241,                 1.0248,                 1.3087,                0.45038,                0.48052,                0.42888,                0.18487,                 2.0166,                 1.8318,                 2.1885,              0.0010397,              0.0010397,              0.0010397
                     99,                 1.3119,                 1.0706,                 1.4229,                0.47774,                0.49351,                 0.4528,                0.19376,                  2.105,                  1.722,                 2.2634,              0.0010298,              0.0010298,              0.0010298
                    100,                 1.2331,                0.99091,                  1.309,                0.42896,                0.49351,                0.43734,                0.20744,                 2.0824,                 1.6741,                 2.2108,              0.0010199,              0.0010199,              0.0010199
                    101,                 1.3359,                 1.1444,                  1.394,                0.35593,                0.51948,                0.39434,                 0.1708,                 2.0856,                 1.7864,                 2.2067,                0.00101,                0.00101,                0.00101
                    102,                 1.2801,                 1.0402,                 1.3579,                0.35593,                0.51948,                0.39434,                 0.1708,                 2.0856,                 1.7864,                 2.2067,              0.0010001,              0.0010001,              0.0010001
                    103,                 1.2069,                0.94528,                 1.2695,                0.35867,                0.46753,                0.35089,                0.16634,                  2.067,                 1.8229,                 2.2193,              0.0009902,              0.0009902,              0.0009902
                    104,                 1.2611,                0.95083,                 1.3477,                0.36253,                0.48052,                0.35058,                0.16871,                 2.0343,                 1.9412,                 2.2863,              0.0009803,              0.0009803,              0.0009803
                    105,                  1.225,                0.98923,                 1.3261,                0.35465,                0.58442,                0.39038,                0.18949,                 2.0301,                 1.8497,                  2.278,              0.0009704,              0.0009704,              0.0009704
                    106,                  1.339,                 1.0683,                 1.3494,                0.42339,                0.54357,                0.41763,                0.18646,                 2.0819,                 1.7869,                 2.2977,              0.0009605,              0.0009605,              0.0009605
                    107,                 1.3423,                0.93353,                 1.3493,                0.43402,                0.42857,                0.39346,                0.17927,                 2.1176,                 1.7501,                 2.3373,              0.0009506,              0.0009506,              0.0009506
                    108,                 1.2303,                0.92368,                 1.2551,                0.46199,                0.44611,                0.40203,                 0.1903,                 2.0593,                 1.7496,                 2.2822,              0.0009407,              0.0009407,              0.0009407
                    109,                 1.2274,                0.95853,                 1.3376,                0.39152,                0.42857,                 0.3923,                0.18168,                 2.0324,                 1.7098,                 2.2759,              0.0009308,              0.0009308,              0.0009308
                    110,                 1.2378,                 1.0262,                 1.4008,                0.39152,                0.42857,                 0.3923,                0.18168,                 2.0324,                 1.7098,                 2.2759,              0.0009209,              0.0009209,              0.0009209
                    111,                 1.2804,                0.93053,                 1.3294,                0.53398,                0.49351,                0.42527,                0.19136,                 2.0582,                  1.703,                 2.2479,               0.000911,               0.000911,               0.000911
                    112,                 1.2419,                0.91598,                 1.2855,                0.52986,                0.48052,                0.42822,                0.18972,                 2.0544,                 1.6767,                 2.2168,              0.0009011,              0.0009011,              0.0009011
                    113,                 1.3183,                 1.0393,                 1.4023,                0.38615,                0.51948,                0.39373,                0.17785,                 2.0632,                 1.7729,                 2.2113,              0.0008912,              0.0008912,              0.0008912
                    114,                 1.2647,                 0.9571,                 1.3959,                0.40128,                0.49351,                0.38742,                0.17946,                 2.1489,                 1.7831,                 2.2816,              0.0008813,              0.0008813,              0.0008813
                    115,                 1.1971,                0.89469,                 1.2888,                0.41168,                0.50892,                 0.3894,                  0.185,                 2.0864,                  1.785,                 2.2592,              0.0008714,              0.0008714,              0.0008714
                    116,                 1.2214,                0.89504,                 1.2752,                0.42674,                0.45455,                0.38147,                0.18088,                 2.0103,                 1.7994,                 2.1871,              0.0008615,              0.0008615,              0.0008615
